# 1ST_READ.PRG suspect triage (Bucket 3 deliverable 5, 2026-07-19).
# The 555 Bucket-2 suspects (size<=4B, 0 callers) classified via flow
# reachability (tools/fn_extent.py): seed-artifact = interior to a real
# function's flow extent (over-seeding); real-function = valid start the
# detector undersized; data = pointer-table entry / non-code.
# addr	size	evidence	class
0x6006742	4	ptr32	data
0x60068d8	4	prologue+ptr32	real-function
0x6006a30	4	prologue	seed-artifact
0x6007222	4	prologue	seed-artifact
0x6007232	4	prologue	seed-artifact
0x6007434	4	prologue	seed-artifact
0x60074cc	4	prologue+jmp-pool+ptr32	real-function
0x60074d0	4	prologue	seed-artifact
0x6007964	4	prologue	real-function
0x6007a1c	4	prologue	real-function
0x6007c54	4	prologue	seed-artifact
0x60086d8	4	prologue	seed-artifact
0x6008960	4	prologue	seed-artifact
0x6008a10	4	prologue	seed-artifact
0x6008b5c	4	prologue	seed-artifact
0x6008bd4	4	prologue	seed-artifact
0x6008ca8	4	prologue	seed-artifact
0x600954e	4	prologue	seed-artifact
0x6009560	4	prologue	seed-artifact
0x6009572	4	prologue	seed-artifact
0x6009584	4	prologue	seed-artifact
0x6009596	4	prologue	seed-artifact
0x60098cc	4	prologue	seed-artifact
0x6009a7c	4	prologue	seed-artifact
0x6009cac	4	prologue+ptr32	real-function
0x6009cb0	4	prologue	seed-artifact
0x6009cb4	4	prologue	seed-artifact
0x600a264	4	prologue	seed-artifact
0x600a268	4	prologue	seed-artifact
0x600a2c8	4	prologue	seed-artifact
0x600a2cc	4	prologue	seed-artifact
0x600a8d4	4	prologue	seed-artifact
0x600a8e6	4	prologue	seed-artifact
0x600a8f8	4	prologue	seed-artifact
0x600a90a	4	prologue	seed-artifact
0x600ac7c	4	prologue	seed-artifact
0x600ad42	4	prologue	seed-artifact
0x600ad46	4	prologue	seed-artifact
0x600aef2	4	prologue	seed-artifact
0x600afc0	4	prologue	seed-artifact
0x600b03c	4	prologue	seed-artifact
0x600b040	4	prologue	seed-artifact
0x600b0f4	4	prologue	seed-artifact
0x600b134	4	prologue	seed-artifact
0x600b138	4	prologue	seed-artifact
0x600b1a4	4	prologue	seed-artifact
0x600b2fc	4	prologue	seed-artifact
0x600b56a	4	prologue	seed-artifact
0x600b748	4	prologue	real-function
0x600b74c	4	prologue	seed-artifact
0x600ba98	4	prologue	real-function
0x600bf72	4	prologue	seed-artifact
0x600c054	4	prologue	seed-artifact
0x600c0c8	4	prologue	seed-artifact
0x600c0cc	4	prologue	seed-artifact
0x600c0d0	4	prologue	seed-artifact
0x600c140	4	prologue	seed-artifact
0x600c144	4	prologue	seed-artifact
0x600c220	4	prologue	seed-artifact
0x600c224	4	prologue	seed-artifact
0x600c228	4	prologue	seed-artifact
0x600c22c	4	prologue	seed-artifact
0x600c230	4	prologue	seed-artifact
0x600c234	4	prologue	seed-artifact
0x600cb02	4	prologue	seed-artifact
0x600cb06	4	prologue	seed-artifact
0x600ccb4	4	prologue	real-function
0x600ccc0	4	prologue	seed-artifact
0x600ccc4	4	prologue	seed-artifact
0x600d014	4	prologue	seed-artifact
0x600d018	4	prologue	seed-artifact
0x600d01c	4	prologue	seed-artifact
0x600d020	4	prologue	seed-artifact
0x600dc30	4	prologue	seed-artifact
0x600dc64	4	prologue	seed-artifact
0x600dc68	4	prologue	seed-artifact
0x600dca4	4	prologue	seed-artifact
0x600dca8	4	prologue	seed-artifact
0x600dcac	4	prologue	seed-artifact
0x600dfac	4	prologue	seed-artifact
0x600e178	4	prologue	seed-artifact
0x600e17c	4	prologue	seed-artifact
0x600e37c	4	prologue	seed-artifact
0x600e6dc	4	prologue	seed-artifact
0x600e7f2	4	prologue	seed-artifact
0x600e816	4	prologue	seed-artifact
0x600e828	4	prologue	seed-artifact
0x600e83a	4	prologue	seed-artifact
0x600e84c	4	prologue	seed-artifact
0x600ea5c	4	prologue	seed-artifact
0x600ec3c	4	prologue	seed-artifact
0x600ef6c	4	prologue	seed-artifact
0x600f148	4	prologue	seed-artifact
0x600f14c	4	prologue	seed-artifact
0x600f34a	4	prologue	seed-artifact
0x600f36e	4	prologue	seed-artifact
0x600f380	4	prologue	seed-artifact
0x600f3a2	4	prologue	seed-artifact
0x600f3c0	4	prologue	seed-artifact
0x600f698	4	prologue	seed-artifact
0x600f7c8	4	prologue	real-function
0x600fb58	4	prologue	real-function
0x601007e	4	prologue	seed-artifact
0x6011978	4	prologue	seed-artifact
0x601197c	4	prologue	seed-artifact
0x6011b98	4	prologue	seed-artifact
0x6011e46	4	jmp-pool+ptr32	data
0x601227c	4	prologue	real-function
0x60122dc	4	prologue	real-function
0x601233c	4	prologue	real-function
0x6013144	4	prologue	seed-artifact
0x60133a8	2	jsr-pool	real-function
0x6013454	2	prologue	seed-artifact
0x60135ce	2	prologue	seed-artifact
0x60136f8	4	prologue	seed-artifact
0x6013848	4	prologue	seed-artifact
0x60139b8	4	prologue+ptr32	real-function
0x6013a5c	4	prologue+ptr32	real-function
0x6013aa6	2	ptr32	data
0x6013aa8	4	prologue	seed-artifact
0x6013be0	4	prologue	real-function
0x6013be4	4	prologue	seed-artifact
0x6014008	4	prologue	seed-artifact
0x601455c	4	prologue	seed-artifact
0x6014560	4	prologue	seed-artifact
0x6014580	4	prologue	seed-artifact
0x6014584	4	prologue	seed-artifact
0x6014588	4	prologue	seed-artifact
0x60145b0	4	prologue	seed-artifact
0x6014708	4	prologue+ptr32	real-function
0x601479e	2	ptr32	data
0x60147a0	4	prologue	seed-artifact
0x60147ac	4	prologue	seed-artifact
0x60147b0	4	prologue	seed-artifact
0x60147b4	4	prologue	seed-artifact
0x601481e	2	ptr32	data
0x6014820	4	prologue	seed-artifact
0x6014824	4	prologue	seed-artifact
0x6014830	4	prologue	seed-artifact
0x6014834	4	prologue	seed-artifact
0x60148a4	4	prologue	seed-artifact
0x6014960	4	prologue+ptr32	real-function
0x6014964	4	prologue	seed-artifact
0x6014a1c	4	prologue+ptr32	real-function
0x6014a20	4	prologue	seed-artifact
0x6014a70	4	prologue+ptr32	real-function
0x6014a74	4	prologue	seed-artifact
0x6014db4	4	prologue	real-function
0x6014ff8	4	prologue	seed-artifact
0x6014ffc	4	prologue	seed-artifact
0x6015044	4	prologue	seed-artifact
0x6015208	4	prologue	seed-artifact
0x60153f8	4	prologue	real-function
0x6015570	4	prologue	real-function
0x6015f10	4	prologue	real-function
0x6016330	4	prologue	seed-artifact
0x6016340	4	prologue	seed-artifact
0x6016540	4	prologue	seed-artifact
0x6016544	4	prologue	seed-artifact
0x60165d8	4	prologue	seed-artifact
0x60165dc	4	prologue	seed-artifact
0x60165e0	4	prologue	seed-artifact
0x6016bac	4	prologue	seed-artifact
0x6016e68	4	prologue	seed-artifact
0x6016ff8	4	prologue+ptr32	real-function
0x6017738	4	prologue	real-function
0x6017a68	4	prologue	real-function
0x6017a6c	4	prologue	seed-artifact
0x6017e1a	4	prologue	seed-artifact
0x6017e32	4	prologue	seed-artifact
0x6017e36	4	prologue	seed-artifact
0x6017e9c	4	prologue	seed-artifact
0x6017f88	4	prologue	seed-artifact
0x601835c	4	prologue	real-function
0x6018430	4	prologue	seed-artifact
0x6018a14	4	prologue	real-function
0x6018e44	4	prologue	seed-artifact
0x6018fb8	4	prologue	seed-artifact
0x60191cc	4	prologue	seed-artifact
0x601946c	4	prologue+ptr32	real-function
0x6019470	4	prologue	seed-artifact
0x6019474	4	prologue	seed-artifact
0x6019928	4	prologue	real-function
0x601a022	4	prologue	seed-artifact
0x601a026	4	prologue	seed-artifact
0x601a038	4	prologue	seed-artifact
0x601a03c	4	prologue	seed-artifact
0x601a07a	4	prologue	seed-artifact
0x601a584	4	prologue	seed-artifact
0x601a588	4	prologue	seed-artifact
0x601ae24	4	prologue	real-function
0x601ae98	4	prologue	seed-artifact
0x601b008	4	prologue	seed-artifact
0x601b270	4	prologue+ptr32	real-function
0x601b558	4	prologue	real-function
0x601b7c4	4	prologue	real-function
0x601b88a	4	prologue	seed-artifact
0x601b8a8	4	prologue	seed-artifact
0x601b8c6	4	prologue	seed-artifact
0x601b8e4	4	prologue	seed-artifact
0x601be78	4	prologue	seed-artifact
0x601c268	4	prologue	real-function
0x601c4f0	4	prologue	real-function
0x601c7b8	4	prologue	seed-artifact
0x601cbf0	4	prologue	seed-artifact
0x601cc84	4	prologue	seed-artifact
0x601ce6c	4	prologue	real-function
0x601d1bc	4	prologue	seed-artifact
0x601d258	4	prologue	real-function
0x601d3cc	4	prologue	seed-artifact
0x601d7d0	4	prologue	real-function
0x601dbfc	4	prologue	real-function
0x601df2c	4	prologue	seed-artifact
0x601e4de	2	prologue	seed-artifact
0x601e536	2	prologue	seed-artifact
0x601eaee	2	prologue	seed-artifact
0x601f10e	2	prologue	seed-artifact
0x601fbc0	1	ptr32	data
0x601ff18	4	prologue	seed-artifact
0x6020024	4	prologue	real-function
0x6020150	4	prologue	seed-artifact
0x60201f8	4	prologue	real-function
0x6020262	2	jmp-pool+ptr32	data
0x6020264	4	prologue	seed-artifact
0x6020330	4	prologue+ptr32	real-function
0x60203b6	2	ptr32	data
0x60203b8	4	prologue	seed-artifact
0x6020428	4	prologue	seed-artifact
0x602042c	4	prologue	seed-artifact
0x6020430	4	prologue	seed-artifact
0x6020524	4	prologue	seed-artifact
0x6020598	4	prologue+ptr32	real-function
0x6020610	4	prologue	seed-artifact
0x6020614	4	prologue	seed-artifact
0x6020618	4	prologue	seed-artifact
0x6020740	4	prologue	seed-artifact
0x6020744	4	prologue	seed-artifact
0x6020834	4	prologue	seed-artifact
0x6020838	4	prologue	seed-artifact
0x602083c	4	prologue	seed-artifact
0x6020964	4	prologue	seed-artifact
0x6020968	4	prologue	seed-artifact
0x6020a7c	4	prologue	seed-artifact
0x6020a80	4	prologue	seed-artifact
0x6020a84	4	prologue	seed-artifact
0x6020bc0	4	prologue	seed-artifact
0x6020c10	4	prologue+ptr32	real-function
0x6020c6c	4	prologue	seed-artifact
0x6020c70	4	prologue	seed-artifact
0x6020d1c	4	prologue+ptr32	real-function
0x6020d58	4	prologue	seed-artifact
0x6020dc0	4	prologue+ptr32	real-function
0x6020e40	4	prologue	seed-artifact
0x6020e4c	4	prologue	seed-artifact
0x6020f2c	4	prologue	seed-artifact
0x6020f30	4	prologue	seed-artifact
0x6020f34	4	prologue	seed-artifact
0x6020ff0	4	prologue	seed-artifact
0x6020ff4	4	prologue	seed-artifact
0x6020ff8	4	prologue	seed-artifact
0x60210d8	4	prologue	seed-artifact
0x60210dc	4	prologue	seed-artifact
0x60210e0	4	prologue	seed-artifact
0x60211fc	4	prologue	seed-artifact
0x6021298	4	prologue	seed-artifact
0x60212e0	4	prologue	seed-artifact
0x60212e4	4	prologue	seed-artifact
0x6021580	4	prologue	seed-artifact
0x6021584	4	prologue	seed-artifact
0x60219fc	4	prologue	seed-artifact
0x6021a00	4	prologue	seed-artifact
0x6021a04	4	prologue	seed-artifact
0x6021b5c	4	prologue	seed-artifact
0x6021b60	4	prologue	seed-artifact
0x6021b64	4	prologue	seed-artifact
0x6021c24	4	prologue+ptr32	real-function
0x6021ca0	4	prologue	seed-artifact
0x6021e60	4	prologue	seed-artifact
0x6021ffc	4	prologue	seed-artifact
0x6022a68	2	prologue	seed-artifact
0x6022b66	2	prologue	seed-artifact
0x6022c8a	2	prologue	seed-artifact
0x6022e02	2	prologue	seed-artifact
0x6022f06	2	prologue	seed-artifact
0x6023026	2	prologue	seed-artifact
0x6023298	4	prologue	seed-artifact
0x60239c4	4	prologue	seed-artifact
0x60239c8	4	prologue	seed-artifact
0x6023a1c	4	prologue	seed-artifact
0x6023a20	4	prologue	seed-artifact
0x6023a24	4	prologue	seed-artifact
0x6023a28	4	prologue	seed-artifact
0x6023a9c	4	prologue	seed-artifact
0x6023aa0	4	prologue	seed-artifact
0x6023aa4	4	prologue	seed-artifact
0x6023aa8	4	prologue	seed-artifact
0x6023b44	4	prologue	seed-artifact
0x6023bc8	4	prologue	seed-artifact
0x6023bcc	4	prologue	seed-artifact
0x6023d54	4	prologue	seed-artifact
0x6023d58	4	prologue	seed-artifact
0x6024be4	4	prologue	seed-artifact
0x6024be8	4	prologue	seed-artifact
0x602573c	4	prologue	seed-artifact
0x6025740	4	prologue	seed-artifact
0x6025744	4	prologue	seed-artifact
0x60258d0	4	prologue	seed-artifact
0x60258d4	4	prologue	seed-artifact
0x6025ac8	4	prologue	seed-artifact
0x6025e3c	4	prologue	seed-artifact
0x6025ebc	4	prologue	seed-artifact
0x6025fe8	4	prologue	seed-artifact
0x6026316	2	ptr32	data
0x6026318	4	prologue	seed-artifact
0x6026cd0	4	prologue	seed-artifact
0x602714c	4	prologue	seed-artifact
0x60277c8	4	prologue	seed-artifact
0x602866c	4	prologue	seed-artifact
0x6028e38	4	prologue	seed-artifact
0x6028e3c	4	prologue	seed-artifact
0x6028eb0	4	prologue	seed-artifact
0x6029514	4	prologue	real-function
0x60295ec	4	prologue	seed-artifact
0x6029670	4	prologue	seed-artifact
0x6029674	4	prologue	seed-artifact
0x6029ac8	4	prologue	real-function
0x6029bf0	4	prologue	real-function
0x602a48c	4	prologue	real-function
0x602ac76	2	ptr32	data
0x602ac78	4	prologue	seed-artifact
0x602acb0	4	prologue	real-function
0x602b20c	4	prologue	seed-artifact
0x602b210	4	prologue	seed-artifact
0x602b21c	4	prologue	seed-artifact
0x602b2a0	4	prologue	seed-artifact
0x602b2a4	4	prologue	seed-artifact
0x602b79c	4	prologue	seed-artifact
0x602b8fc	4	prologue	seed-artifact
0x602b96c	4	prologue	seed-artifact
0x602c1ec	4	prologue	seed-artifact
0x602c26c	4	prologue	seed-artifact
0x602c270	4	prologue	seed-artifact
0x602c580	4	prologue	real-function
0x602c5c8	4	prologue	real-function
0x602c624	4	prologue	seed-artifact
0x602c628	4	prologue	seed-artifact
0x602cde0	4	prologue	real-function
0x602ce64	4	prologue	real-function
0x602cf7c	4	prologue	real-function
0x602d0dc	4	prologue	real-function
0x602d4e0	4	prologue	seed-artifact
0x602dcf8	4	prologue	seed-artifact
0x602dcfc	4	prologue	seed-artifact
0x602de70	4	prologue	seed-artifact
0x602de74	4	prologue	seed-artifact
0x602dff4	4	prologue	seed-artifact
0x602e098	4	prologue	seed-artifact
0x602e200	4	prologue	seed-artifact
0x602e274	4	prologue	seed-artifact
0x602e2a8	4	prologue	real-function
0x602e428	4	prologue	real-function
0x602e5cc	4	prologue	real-function
0x602e768	4	prologue	real-function
0x602e83c	4	prologue	real-function
0x602e840	4	prologue	seed-artifact
0x602e87c	4	prologue	seed-artifact
0x602e8e8	4	prologue	seed-artifact
0x602ea90	4	prologue	real-function
0x602ebf4	4	prologue	seed-artifact
0x602ebf8	4	prologue	seed-artifact
0x602ecf8	4	prologue	seed-artifact
0x602ecfc	4	prologue	seed-artifact
0x602f930	4	prologue	seed-artifact
0x602f934	4	prologue	seed-artifact
0x60301c4	4	prologue	seed-artifact
0x6030228	4	prologue	real-function
0x6030550	4	prologue	real-function
0x60307f0	4	prologue	real-function
0x60314ec	4	prologue	seed-artifact
0x6031b08	4	prologue	seed-artifact
0x6031f82	4	prologue	seed-artifact
0x6031fa4	4	prologue	seed-artifact
0x603201c	4	prologue	seed-artifact
0x6034a34	4	prologue	seed-artifact
0x6034aac	4	prologue	seed-artifact
0x6034f64	4	prologue	real-function
0x6034fd8	4	prologue+ptr32	real-function
0x60351fc	4	jmp-pool+ptr32	data
0x60352d0	4	prologue	seed-artifact
0x60352d4	4	prologue	seed-artifact
0x60352d8	4	prologue	seed-artifact
0x60352dc	4	prologue	seed-artifact
0x603548e	4	prologue	seed-artifact
0x6035554	4	prologue	seed-artifact
0x6035ade	4	prologue	real-function
0x6036314	4	prologue	real-function
0x6036400	4	prologue	real-function
0x603651c	4	prologue	real-function
0x6036570	4	prologue	real-function
0x60365c0	4	prologue	real-function
0x60365c4	4	prologue	seed-artifact
0x60365c8	4	prologue	seed-artifact
0x603663c	4	prologue	seed-artifact
0x60366ac	4	prologue	real-function
0x60366b0	4	prologue	seed-artifact
0x60366b4	4	prologue	seed-artifact
0x60368e8	4	prologue	real-function
0x6036a58	4	ptr32	data
0x6036d1c	4	prologue	seed-artifact
0x6036d20	4	prologue	seed-artifact
0x6036d98	4	prologue	seed-artifact
0x6036e38	4	prologue	seed-artifact
0x6036e3c	4	prologue	seed-artifact
0x6036e78	4	prologue	seed-artifact
0x6036e7c	4	prologue	seed-artifact
0x6036fc4	4	prologue	seed-artifact
0x6036fc8	4	prologue	seed-artifact
0x603708c	4	prologue	real-function
0x6037090	4	prologue	seed-artifact
0x6037264	4	prologue	seed-artifact
0x60372f4	4	prologue	real-function
0x6037448	4	prologue	seed-artifact
0x60375d8	4	prologue	real-function
0x60378d2	2	jmp-pool+ptr32	data
0x6037a14	4	ptr32	data
0x6037a18	4	ptr32	data
0x6037a20	4	prologue	seed-artifact
0x6037b40	4	ptr32	data
0x6037b7e	2	ptr32	data
0x6037b80	4	prologue	seed-artifact
0x6037be0	4	prologue+ptr32	real-function
0x6037c66	4	prologue	seed-artifact
0x6037c6a	4	prologue	seed-artifact
0x60381e0	4	prologue	real-function
0x60381e4	4	prologue	seed-artifact
0x6038300	4	prologue	real-function
0x60383dc	4	prologue	seed-artifact
0x60387f4	4	prologue	seed-artifact
0x60389a2	4	prologue	seed-artifact
0x6038b08	4	prologue	seed-artifact
0x6038b74	4	prologue	seed-artifact
0x6038b78	4	prologue	seed-artifact
0x6038b7c	4	prologue	seed-artifact
0x6038b80	4	prologue	seed-artifact
0x6038b84	4	prologue	seed-artifact
0x6038c00	4	prologue	seed-artifact
0x6038cdc	4	prologue	seed-artifact
0x6038db0	4	prologue	seed-artifact
0x6038e08	4	prologue	seed-artifact
0x60391b0	4	prologue	seed-artifact
0x603934c	4	ptr32	seed-artifact
0x6039414	4	prologue	seed-artifact
0x60394c8	4	prologue	seed-artifact
0x6039ae8	4	prologue	seed-artifact
0x6039df0	4	prologue	seed-artifact
0x603a2ac	4	prologue	seed-artifact
0x603a2b0	4	prologue	seed-artifact
0x603a2f8	4	prologue	real-function
0x603ab10	4	prologue	seed-artifact
0x603ac9c	4	prologue	seed-artifact
0x603b080	4	prologue	seed-artifact
0x603c05e	4	prologue	seed-artifact
0x603cd78	4	prologue	seed-artifact
0x603cd7c	4	prologue	seed-artifact
0x603cd80	4	prologue	seed-artifact
0x603cfc0	4	prologue	seed-artifact
0x603d028	4	prologue	seed-artifact
0x603d02c	4	prologue	seed-artifact
0x603d030	4	prologue	seed-artifact
0x603d12c	4	prologue	seed-artifact
0x603d194	4	prologue	seed-artifact
0x603d4a8	4	prologue	seed-artifact
0x603d89c	4	prologue	seed-artifact
0x603dab8	4	prologue	seed-artifact
0x603dabc	4	prologue	seed-artifact
0x603dac0	4	prologue	seed-artifact
0x603dac4	4	prologue	seed-artifact
0x603dc0c	4	prologue	seed-artifact
0x603dc48	4	ptr32	data
0x603dd1c	4	prologue	seed-artifact
0x603de54	4	prologue	seed-artifact
0x603de6c	4	ptr32	data
0x603de70	4	ptr32	data
0x603de82	4	prologue	seed-artifact
0x603de9a	4	ptr32	data
0x603de9e	4	ptr32	data
0x603dee0	4	ptr32	seed-artifact
0x603df58	4	prologue	seed-artifact
0x603e1cc	4	prologue	seed-artifact
0x603e1d0	4	prologue	seed-artifact
0x603e2b4	4	prologue	seed-artifact
0x603e2b8	4	prologue	seed-artifact
0x603e354	4	prologue	seed-artifact
0x603e5b4	4	prologue	seed-artifact
0x603e794	4	prologue	seed-artifact
0x603e798	4	prologue	seed-artifact
0x603e850	4	prologue	seed-artifact
0x603e854	4	prologue	seed-artifact
0x603e858	4	prologue	seed-artifact
0x603e85c	4	prologue	seed-artifact
0x603e860	4	prologue	seed-artifact
0x603e990	4	prologue	seed-artifact
0x603eaec	4	prologue	seed-artifact
0x603ebf0	4	prologue	seed-artifact
0x603ed44	4	prologue	seed-artifact
0x603f2cc	4	prologue+jsr-pool+ptr32	real-function
0x603fbe0	4	prologue	seed-artifact
0x603fbe4	4	prologue	seed-artifact
0x6040658	4	prologue	seed-artifact
0x6040790	4	prologue	real-function
0x60407e0	4	prologue	seed-artifact
0x6040820	4	prologue	seed-artifact
0x6040824	4	prologue	seed-artifact
0x6040828	4	prologue	seed-artifact
0x6040874	4	prologue	seed-artifact
0x60408a0	4	prologue	seed-artifact
0x60408a4	4	prologue	seed-artifact
0x6040914	4	prologue	real-function
0x6040918	4	prologue	seed-artifact
0x604091c	4	prologue	seed-artifact
0x6040964	4	prologue	seed-artifact
0x60409e8	4	prologue	seed-artifact
0x60409ec	4	prologue	seed-artifact
0x6040a2c	4	prologue	seed-artifact
0x6040ac0	4	prologue	seed-artifact
0x6040ac4	4	prologue	seed-artifact
0x6040ac8	4	prologue	seed-artifact
0x6040b18	4	prologue	real-function
0x6040bc8	4	prologue	seed-artifact
0x6040c24	4	prologue	real-function
0x6040c50	4	prologue	real-function
0x6040c7c	4	prologue	real-function
0x6040cb0	4	prologue	seed-artifact
0x6040e18	4	prologue	seed-artifact
0x6040e1c	4	prologue	seed-artifact
0x6040e20	4	prologue	seed-artifact
0x6040ec8	4	prologue	seed-artifact
0x6040ecc	4	prologue	seed-artifact
0x6040ed0	4	prologue	seed-artifact
0x6040ed4	4	prologue	seed-artifact
0x6041058	4	prologue	seed-artifact
0x6041074	4	prologue	seed-artifact
0x6041280	4	prologue	seed-artifact
0x60412bc	4	prologue	seed-artifact
0x60412c0	4	prologue	seed-artifact
0x60412cc	4	prologue	seed-artifact
0x6041848	4	prologue	seed-artifact
0x60418f8	4	prologue	seed-artifact
0x6041dcc	4	prologue	seed-artifact
0x6041dd0	4	prologue	seed-artifact
0x6041dd4	4	prologue	seed-artifact
0x6041dd8	4	prologue	seed-artifact
0x6042004	4	prologue	seed-artifact
0x6042038	4	prologue	seed-artifact
0x604203c	4	prologue	seed-artifact
